CAS	Name	A	B	C	Tmin	Tmax
69698-59-5	1,2,4,6,8,9-Hexa-chlorodibenzofuran	37.706788095106546	16576.264032762276	1.88	298.0	398.0
69698-60-8	1,2,3,4,6,8-Hexa-chlorodibenzofuran	37.949181227846026	16511.570601989515	0.423	298.0	398.0
70648-25-8	1,2,3,4,6,7,9-Hepta-chlorodibenzofuran	38.13364131964578	17303.226987981983	9.24	298.0	398.0
70648-26-9	1,2,3,4,7,8-Hexa-chlorodibenzofuran	37.534071187281064	16080.342465773592	-4.64	298.0	398.0
71998-72-6	1,3,6,8-Tetrachloro-dibenzofuran	37.64597682280058	15259.604430056608	5.915	298.0	398.0
71998-74-8	1,2,4,7,9-Penta-chlorodibenzofuran	37.79430935449125	15703.015543999563	0.002	298.0	398.0
71998-75-9	1,3,4,6,7,8-Hexa-chlorodibenzofuran	38.900724517525816	17070.916875364725	5.644	298.0	398.0
74918-40-4	3,6-Dichloro-dibenzofuran	36.87189376623783	13803.795005011123	5.973	298.0	398.0
75025-98-8	Disperse Yellow	32.630255714731646	15610.7486567382	0.0	483.0	524.0
75627-02-0	1,2,4,6,7,9-Hexa-chlorodibenzofuran	38.186025130511396	15664.371258383844	-11.173	298.0	398.0
79060-60-9	1,2,3,4,6,7-Hexa-chlorodibenzofuran	38.42454992029465	16714.000067854995	2.008	298.0	398.0
80912-39-6	1,2-Diformylhydrazine	27.698026342134675	9168.663581792991	63.45	395.0	420.0
82413-41-0	1,3-Dimethyl-5,6-pentamethylene-uracil	36.64234905831726	13458.190798063273	0.0	335.0	358.0
83704-22-7	1,2,3,7-Tetrachloro-dibenzofuran	38.408155514432536	15591.349377329725	8.82	298.0	398.0
83704-25-0	1,2,6,7-Tetrachloro-dibenzofuran	35.95928719048058	14503.999618865146	-0.807	298.0	398.0
83704-26-1	1,2,7,9-Tetrachloro-dibenzofuran	36.49742435256421	14626.09879859134	-0.363	298.0	398.0
83704-30-7	2,3,4,6-Tetrachloro-dibenzofuran	38.37331740197553	15281.200375643799	4.322	298.0	398.0
83704-31-8	2,3,4,7-Tetrachloro-dibenzofuran	36.83783853271245	14639.20971811085	-1.155	298.0	398.0
83704-32-9	2,3,4,8-Tetrachloro-dibenzofuran	36.67824635991703	14605.944271272365	-1.171	298.0	398.0
83704-36-3	1,3,4,6,7-Penta-chlorodibenzofuran	38.61642433609384	16256.821797641025	5.992	298.0	398.0
83704-47-6	1,2,3,4,6-Penta-chlorodibenzofuran	38.229451885365265	15984.56413624541	3.071	298.0	398.0
83704-50-1	1,2,4,6,7-Penta-chlorodibenzofuran	38.22627431793693	15664.447243691913	-1.481	298.0	398.0
87578-82-3	8,9-Dimethyl-9H-purin-6-amine	30.46978617367719	12730.82489045229	0.0	369.0	375.0
88381-75-3	2,2-Dinitro-adamantane	35.020062731048306	11580.934618276902	0.0	278.0	317.0
89284-69-5	5-Chloro-2-hydroxybenzo-quinone	30.428662003916315	11052.40844637142	0.0	293.0	367.0
91538-83-9	1,2,3,4,6,9-Hexa-chlorodibenzofuran	39.172475610200976	16632.566843456167	-0.537	323.0	398.0
91538-84-0	1,2,3,4,7,9-Hexa-chlorodibenzofuran	38.84891635293345	16810.363253996795	2.393	298.0	398.0
92114-99-3	3-Methyl-4'-nitro-4-N,N-dimethyl-aminoazobenzene	37.32458199552046	15159.814997296431	0.0	373.0	394.0
92245-57-3	4-(2-Hydroxy-ethoxy)azobenzene	43.3505392872896	16735.188455880725	0.0	1.0	371.0
99115-63-6	1,3,5,7-Tetraazatricyclo[3.3.1.13,7]decane	53.984107505245404	14315.171523143983	0.0	293.0	313.0
101251-31-4	1,6-Dimethyl-3-ethyluracil	25.536566689490233	9260.769288097847	0.0	307.0	314.0
101325-82-0	4-(Octahydro-1,3-dioxo-2H-isoindol-2-yl)benzoic acid	19.97492568172335	4731.812366102764	0.0	330.0	500.0
103393-58-4	1,6-Dimethyl-3-butyluracil	31.268898330200773	11011.277368855268	0.0	310.0	317.0
103582-29-2	Octabromo-dibenzofuran	40.29961403907249	20893.2541814367	-8.224	298.0	398.0
105836-96-2	2,8-Dibromo-dibenzo-p-dioxin	35.86828902760546	13311.951316222128	0.672	298.0	398.0
105908-71-2	1-Bromodibenzo-p-dioxin	33.52091865455267	11039.182397597264	-16.384	0.1	398.16
109856-25-9	1,3-Dimethyl-6-butyluracil	30.595161931990713	10954.237730931618	0.0	312.0	318.0
112248-67-6	3,8-Dimethyl-naphto[3,2,1-kl]xanthene	38.53145894616236	16622.361786324018	0.0	373.0	433.0
116988-56-8	8-Ethyl-9-methyl-9H-purin-6-amine	34.149869772703994	13868.07857563733	0.0	364.0	373.0
117954-97-9	9-Methyl-8-propyl-9H-purin	37.313483535372235	14945.524915616941	0.0	364.0	370.0
117954-98-0	8-Butyl-9-methyladenine	40.550664891761635	16261.560517762407	0.0	362.0	368.0
128478-71-7	2-Cyano-2-nitroadamantane	26.694145293291133	8438.916801195854	0.0	306.0	369.0
145729-67-5	1,N4-Dimethyl-5-propylcytosine	37.87660374571486	15985.584181441607	0.0	373.0	380.0
151985-84-1	1,6-Dimethyl-3-propyluracil	40.651310886176404	14147.034457068467	0.0	311.0	317.0
220326-37-4	2,5-Hexanediol, dinitrate	54.02707374308068	14331.29422396513	0.0	293.0	313.0
500014-87-9	3-tert-Butylbenzoic acid	40.94180502150853	15780.677134016067	42.022	318.0	335.0
500023-24-5	Peroxydodecanoic acid	49.55577585439925	15790.0003010576	0.0	293.0	303.0
500060-80-0	3,4-Diethyl-3,4-dimethoxyethane	33.458035055663004	7201.974996994731	0.0	302.0	332.0
500060-81-1	2,3-Dibromo-dibenzofuran	34.05263160422685	12832.751122178766	-5.319	298.0	398.0
500061-14-3	Peroxyteradecanoic acid	56.9256599615453	18779.009036124102	0.0	293.0	303.0
500061-28-9	Di(1-methylpropyl) isophthalate	22.09968212798546	5300.458780668574	-102.823	333.0	393.0
500061-49-4	Di(2-methylbutyl) phthalate	35.41230810163984	13787.253233703053	28.317	353.0	413.0
500061-50-7	Di(1-methylbutyl) terephthalate	30.070471866850163	9769.214615407327	-36.609	353.0	413.0
500061-51-8	Di(2-methylbutyl) terephthalate	24.72679356398609	6948.999183167846	-89.433	353.0	413.0
500061-52-9	Di(1-methylbutyl) isophthalate	38.13670375781946	15853.874011537255	55.384	353.0	413.0
500061-53-0	Di(2-methylbutyl) isophthalate	41.634952212052525	17882.048526073733	61.041	353.0	413.0
500072-07-1	1,N4-Dimethyl-5-butylcytosine	36.68803234656226	15755.698690927267	0.0	372.0	378.0
500072-08-2	2-Methyl-4-hydroxyquinoline	40.80374201933261	15882.794480305261	0.0	423.0	443.0
500072-09-3	Benzoylimidazole dimethylacetal	28.321589411168397	9086.187286347038	0.0	298.0	388.0
500072-10-6	Morpholine cinnamate	42.02425027372503	14305.878289708658	0.0	298.0	349.0
500072-12-8	Dipropylammonium-N,N-dipropyl-dithiocarbamate	47.10080567995087	13912.955959099783	0.0	309.0	331.0
500072-13-9	Diisopropyl-ammonium-N,N-diisopropyl-dithiocarbamate	43.643128775056354	12793.791382405307	0.0	301.0	331.0
500072-14-0	1-(N-Trifluoro-acetyl) proline methyl ester	40.07649354356137	14596.086904489257	0.0	313.0	367.0
500072-16-2	N-(2-Hydroxy-3-phenoxypropyl) phenylamine	35.87837435031277	13700.250055964272	0.0	322.0	333.0
500072-22-0	Anisole-2-azo-1,2-naphthol	40.5551779585439	17128.000262405138	0.0	375.0	388.0
500072-23-1	Diisobutyl-ammonium-N,N-diisobutyl-dithiocarbamate	26.66805700418751	4495.758250124293	-136.725	310.0	332.0
500072-27-5	1-Amino-2-benzoyloxy-9,10-anthraquinone	38.667035156437855	16513.49786571235	0.0	453.0	524.0
500072-28-6	2-Benzoyl-1,4-diamino-9,10-anthraquinone	43.09449182494866	20266.018489179656	0.0	453.0	524.0
500072-29-7	1-Amino-2-bromo-4-p-toluidino anthraquinone	41.895167353411786	20080.998869202303	0.0	418.0	438.0
500072-30-0	2-Hydroxy-4-p-toluidino anthraquinone	35.645168532094324	14553.000932229152	0.0	349.0	378.0
500072-31-1	1-(Methylamino)-4-(phenylamino)-9,10-anthraquinone	37.795253414379374	16465.38995536443	0.0	453.0	524.0
500072-32-2	(5-Cyano-3,4-diphenyl-6-oxo-1,6-dihydropyridazin-1-yl)acetic	36.23223562740409	16061.758301488037	0.0	396.0	415.0
500072-34-4	1-Methylamino-4-m-toluidino anthraquinone	39.605177400876414	18513.99991260123	0.0	403.0	426.0
500072-36-6	1-Amino-2-methyl-4-p-toluidino anthraquinone	34.085167131590865	17103.0010960505	0.0	418.0	435.0
500072-37-7	1,4-Di(isobutyl-amino)-anthraquinone	19.975178966083575	9337.000972771599	0.0	368.0	388.0
500072-42-4	Dimethyl ammonium cyanide	30.196054857822055	6176.903257540362	6.329	250.0	296.0
500072-43-5	Biphenyl + 4,4'-Dinitrobiphenyl 1 : 3 (mol)	29.581080431185207	10497.945955978454	0.0	336.0	355.0
500072-53-7	N-Acetyl-L-alaninamide	35.00016839584483	13831.955620698438	-0.172	366.0	411.0
500072-59-3	1,5,N4-Trimethyl-cytosine	27.117728846998318	11925.415163699368	0.0	374.0	383.0
500072-67-3	1,3,5-Cyclo-heptatriene, 1-amino-7-imino	19.961939101798862	5946.513500890657	-0.064	273.0	323.0
500072-68-4	Biphenyl + 4,4'-Dinitrobiphenyl	47.6335547929169	18726.878509618713	0.0	362.0	393.0
500072-70-8	Azoethane, 1,1'-dimethyl 1,1'-dicarbonitrile	31.8261008968544	10442.223396727999	0.0	288.0	313.0
500072-74-2	2(Acetyloxy)-2,2-dihydro-5-nitro-2-furancarboxylic acid methyl	28.72474903510072	10727.97420676856	0.0	333.0	363.0
500072-75-3	3-(1-Nitroso-2-pyrolidinyl)pyridine	25.162995284002882	7748.152786223105	-68.914	273.0	424.0
500072-76-4	Acetylimidazole diethylacetate	17.531146070826907	5056.032465291976	0.0	298.0	353.0
800001-10-9	Dinitrogen tetroxide, equilibrium mixt., NO2, N2O4	29.61403042386595	4779.084438061933	-20.35	237.0	263.0
900000-17-1	trans-2-Pentenamide	23.304003209174137	6411.548191441921	-14.95	353.0	383.0
900000-19-3	cis-2-Hexenamide	21.541144061977896	4295.472490980393	0.0	323.0	333.0
