CAS	Name	A	B	C	Tmin	Tmax
3074-71-3	2,3-Dimethylheptane	20.78244227383636	3225.921715284658	-65.15	310.0	441.0
3074-75-7	4-Ethyl-2-methylhexane	20.780830464271265	3172.5017411271965	-64.15	305.0	434.0
3074-76-8	3-Ethyl-3-methylhexane	20.679286461670227	3199.9025037338256	-64.15	309.0	442.0
3074-77-9	3-Ethyl-4-methylhexane	20.80846148538719	3243.1911034821137	-64.15	310.0	441.0
3085-30-1	Aluminum butoxide	30.01419668717739	12526.06290588761	0.0	503.0	533.0
3087-37-4	Titanium propoxide	19.368424768228714	2239.8626750608883	-251.73	411.0	479.0
3087-39-6	Titanium-tert-butoxide	26.856431490645356	6718.943301356626	0.0	386.0	486.0
3088-05-9	Bis-N,N-(2-hydroxy-3-phenoxy-propyl)aniline	33.629715800196635	15755.20824030246	0.0	388.0	423.0
3089-24-5	2,2,4-Trimethyl-1,6-hexandiol	24.251655130046768	6043.113853297036	-66.307	421.0	541.0
3112-90-1	Benzyl methyl sulfone	24.372863209341975	7810.368635435803	0.0	455.0	529.0
3114-70-3	1,4-Diamino-cyclohexane	22.299569539908276	4598.980837258124	-43.4	383.0	473.0
3123-97-5	5,5,-Dimethyldihydro-2-3H-furanone	22.608714614493657	4986.303280920838	-29.975	311.0	480.0
3126-95-2	(2,3-Epoxypropyl)-propyl ether	25.66691603160463	5740.3446368341565	0.0	285.0	313.0
3141-26-2	3,4-Dibromothiophene	19.518852652354017	4662.115417922928	34.618	333.0	373.0
3156-70-5	1-Nitropropylene	21.55700887326863	4055.218459792301	-15.566	301.0	373.0
3161-99-7	1,3,5-Hexatriyne	22.222179654932745	3779.9236886590256	0.0	253.0	263.0
3162-58-1	N,N-Dimethyl-methanamine comp. with SO 2	30.39969548344645	6985.934950644564	-7.004	293.0	349.0
3162-62-7	1,1-Dichlorodecane	21.780152394630676	4501.55385680336	-81.15	415.0	577.0
3172-52-9	2,5-Dichlorothiophene	20.502563055782932	3949.6034867468497	-4.717	333.0	373.0
3173-56-6	Benzyl isocyanate	21.41196903826093	5085.475620876092	0.0	333.0	393.0
3175-23-3	1,2,2-Trichloropropane	20.119113560246632	2775.536071095023	-73.15	396.15	396.15
3178-22-1	tert-Butylcyclohexane	20.691628317768675	3465.8787129957536	-66.588	357.0	446.0
3178-29-8	4-Propylheptane	20.889051963641982	3358.780875150415	-71.95	325.0	459.0
3178-30-1	3-(1,1-Dimethylethyl)-2,2-dimethylpentane	19.685030218515397	3011.8734050399316	-84.0	453.15	453.15
3179-47-3	Decyl methacrylate	25.463781974700694	7539.971462795327	0.0	412.0	540.0
3180-09-4	2-Butylphenol	20.59240992611156	3552.5526210662356	-116.681	382.0	520.0
