CAS	Chemical	formula	Hfl	Gfl	S0l	Cpl	Hfg	Gfg	S0g	Cpg
10026-11-6	Zirconium Chloride	Cl4Zr					-869979.0	-835003.0	367.716	98.234
10026-12-7	Niobium Chloride	Cl5Nb	-773354.0	-674012.0	260.97	147.904	-703330.0	-646667.0	404.111	119.04
10026-13-8	Phosphorus Chloride	Cl5P					-360184.0	-290271.0	364.288	111.89
10026-17-2	Cobalt Fluoride	CoF2	-637691.0	-593977.0	86.238	104.6	-356477.0	-369949.0	278.042	51.21
10028-15-6	Ozone	O3					142674.0	163184.0	238.932	39.238
10031-18-2	Mercury Bromide	BrHg					104182.0	68581.0	271.538	37.21
10031-22-8	Lead Bromide	Br2Pb	-267412.0	-254558.0	173.878	79.58	-104391.0	-140883.0	339.386	56.918
10034-85-2	Hydrogen Iodide	HI					26359.0	1560.0	206.589	29.156
10034-94-3	Magnesium Silicate	Mg2O4Si	-2113878.0	-2003141.0	123.044	118.688				
10035-10-6	Hydrogen Bromide	HBr					-36443.0	-53513.0	198.699	29.141
10036-47-2	Tetrafluorohydrazine	F4N2					-8368.0	79883.0	301.191	79.169
10043-11-5	Boron Nitride	BN					476976.0	443965.0	212.358	29.45
10043-35-3	Boric Acid	H3BO3					-992277.0	-928373.0	295.237	65.338
10043-52-4	Calcium Chloride	CaCl2	-774094.0	-732115.0	123.868	72.856	-471537.0	-479169.0	290.265	59.325
10049-04-4	Chlorine Oxide	ClO2					104600.0	122327.0	257.229	41.995
10049-06-6	Titanium Chloride	Cl2Ti					-237233.0	-244537.0	278.338	57.503
10097-28-6	Silicon Oxide	OSi					-100416.0	-127305.0	211.579	29.899
10097-32-2	Bromine	Br					111860.0	82369.0	175.017	20.786
10101-63-0	Lead Iodide	I2Pb	-157679.0	-163038.0	198.902	77.571	-3180.0	-56437.0	359.552	57.615
10102-03-1	Nitrogen Oxide	N2O5					11297.0	118013.0	346.548	96.303
10102-24-6	Lithium Silicate	Li2O3Si	-1625231.0	-1539171.0	96.064	100.567				
10102-43-9	Nitrogen Oxide	NO					90291.0	86600.0	210.758	29.845
10102-44-0	Nitrogen Oxide	NO2					33095.0	51258.0	240.034	36.974
10102-68-8	Calcium Iodide	CaI2	-500170.0	-506494.0	178.942	77.157	-258153.00000000003	-308790.0	327.569	60.636
10241-03-9	Zirconium Chloride	Cl3Zr					-524255.0	-514073.99999999994	339.34	76.025
10241-04-0	Cobalt Chloride	Cl3Co					-163594.0	-154508.0	334.209	76.238
10241-05-1	Molybdenum Chloride	Cl5Mo	-510114.0	-416944.0	273.807	175.728	-447688.0	-391478.0	397.774	119.482
10294-33-4	Tribromoborane	BBr3	-238488.0	-236914.0	228.865	128.03	-204179.0	-231062.0	324.307	67.771
10294-34-5	Trichloroborane	BCl3					-402961.0	-387969.0	290.169	62.392
10294-54-9	Cesium Sulfate	Cs2O4S	-1400139.0	-1290958.0	246.449	135.143	-1122567.0	-1061100.0	406.484	110.07
10325-39-0	Dichloroborane	HBCl2					-248111.0	-240365.0	268.272	49.644
10361-37-2	Barium Chloride	BaCl2	-832467.0	-790119.0	143.518	75.14	-498733.0	-510713.0	325.736	56.16
10377-48-7	Lithium Sulfate	Li2O4S	-1399296.0	-1296080.0	154.332	117.608	-1041816.0	-988835.0	322.82	101.804
10377-51-2	Lithium Iodide	ILi	-258349.0	-261764.0	98.611	63.178	-91002.0	-134265.0	232.262	34.572
10377-58-9	Magnesium Iodide	I2Mg	-342252.0	-344316.0	155.737	74.81	-160247.0	-210538.0	317.489	59.623
10476-81-0	Strontium Bromide	Br2Sr	-705098.0	-689280.0	154.843	76.852	-407103.0	-441544.0	323.413	60.896
10476-85-4	Strontium Chloride	Cl2Sr	-805351.0	-762730.0	135.82	75.588	-473210.0	-484411.0	316.339	55.775
10476-86-5	Strontium Iodide	I2Sr	-548748.0	-548928.0	172.44	77.948	-274889.0	-324894.0	339.554	61.399
10544-50-0	Sulfur	S8					100416.0	48578.0	430.311	156.043
10544-72-6	Nitrogen Oxide	N2O4	19564.0	97521.0	209.198	142.509	9079.0	97787.0	304.376	77.256
10544-73-7	Nitrogen Oxide	N2O3					82843.0	139727.0	308.539	65.615
10545-99-0	Sulfur Chloride	Cl2S	-49790.0	-28485.0	183.678	91.002	-17573.0	-25472.0	281.628	50.895
10546-01-7	Sulfur Fluoride	F5S					-908447.0	-838597.0	304.752	89.642
10553-31-8	Barium Bromide	BaBr2	-730193.0	-717500.0	172.108	77.015	-424676.0	-462656.0	342.067	57.029
11062-77-4	Oxygen, Ion	O2-					-48593.0	-43663.0	209.591	30.453
11080-56-1	Phosphorus Fluoride, Ion	FP-					-164046.0	-182462.0	225.218	34.786
11080-57-2	Phosphorus Fluoride, Ion	FP+					901518.0	870945.0	224.035	33.428
11081-35-9	Deuterium, Ion	D2-					235365.0	237655.0	158.259	30.315
11092-32-3	Aluminum Oxide	AlO2					-86190.0	-91679.0	251.832	49.892
11127-10-9	Potassium Bromide	Br2K2					-540573.0	-568802.0	376.23	81.782
11128-24-8	Fluorosilylidyne	FSi					-20083.0	-51559.0	225.786	32.65
12003-67-7	Lithium Aluminum Oxide	AlLiO2	-1107739.0	-1057412.0	93.711	67.777				
12004-06-7	Beryllium Aluminum Oxide	Al2BeO4	-2163842.0	-2059525.9999999998	126.406	105.38				
12004-36-3	Aluminum Oxide	Al2O					-145185.0	-172975.0	252.332	52.032
12007-60-2	Lithium Borate	B6Li2O10	-3317715.0	-3131030.0	173.375	181.146				
12008-39-8	Potassium Borate	B8K2O13	-5872537.0	-5519114.0	324.085	323.088				
12009-08-4	Barium Hydroxide	HBaO					-226440.0	-233150.0	252.893	46.356
12009-99-3	Beryllium Oxide	Be2O					-62760.0	-92388.0	220.827	40.952
12011-54-0	Boron Carbide	CB					828432.0	769702.0	208.555	29.7
12018-00-7	Chromium Oxide	CrO					188280.0	154567.0	239.268	31.32
12018-01-8	Chromium Oxide	CrO2					-75312.0	-87380.0	269.241	43.39
12031-80-0	Lithium Oxide	Li2O2					-242672.0	-245727.0	273.562	72.73
12031-82-2	Lithium Titanium Oxide	Li2O3Ti	-1566760.0	-1492523.0	147.656	109.855				
12032-30-3	Magnesium Titanium Oxide	MgO3Ti	-1497631.0	-1420091.0	111.082	91.881				
12032-35-8	Magnesium Titanium Oxide	MgO5Ti2	-2382307.0	-2260282.0	197.783	146.858				
12032-36-9	Magnesium Sulfide	MgS					145227.0	97297.0	225.483	34.599
12032-52-9	Magnesium Titanium Oxide	Mg2O4Ti	-2046329.0	-1946752.0	172.412	128.574				
12033-33-9	Molybdenum Sulfide	Mo2S3	-270304.0	-278590.0	181.17	109.294				
12033-49-7	Nitrogen Oxide	NO3					71128.0	116121.0	252.619	46.934
12033-56-6	Nitrogen Sulfide	NS					263592.0	235498.0	222.087	31.793
12033-60-2	Silicon Nitride	NSi					372376.0	341909.0	216.812	30.168
12034-57-0	Niobium Oxide	NbO	-336743.0	-320105.0	83.233	41.112	198740.0	168943.0	238.976	30.788
12034-59-2	Niobium Oxide	NbO2	-710872.0	-666514.0	92.835	57.45	-199995.0	-209330.0	272.921	43.907
12035-51-7	Nickel Sulfide	NiS2	-66568.0	-75048.0	122.427	70.626				
12035-72-2	Nickel Sulfide	Ni3S2	-143926.0	-162473.0	215.93	117.738				
12035-90-4	Tantalum Oxide	OTa					192464.0	163522.0	241.116	30.6
