CAS	Chemical	formula	Hfl	Gfl	S0l	Cpl	Hfg	Gfg	S0g	Cpg
13537-16-1	Titanium Fluoride Oxide	F2OTi					-924873.0	-909535.0	284.678	62.779
13537-33-2	Fluorosilane	H3FSi					-376560.0	-353354.0	238.402	47.196
13568-46-2	Lithium Silicate	Li2O5Si2	-2513068.0	-2379367.0	160.243	138.072				
13569-23-8	Aluminum Fluoride	AlF2					-694544.0	-704426.0	264.209	45.857
13569-27-2	Strontium Fluoride	FSr					-294554.0	-319250.0	239.919	34.487
13569-28-3	Zirconium Fluoride	FZr					82843.0	51993.0	243.736	33.427
13569-32-9	Dichlorosilylene	Cl2Si					-168615.0	-180373.0	281.333	51.248
13587-54-7	Hydroxyl-D	DO					36602.0	32249.000000000004	189.651	29.989
13595-81-8	Aluminum Chloride	AlCl					-51463.0	-77743.0	227.957	34.66
13595-82-9	Aluminum Fluoride	AlF					-265684.0	-291172.0	215.157	31.932
13596-11-7	Aluminum Chloride Oxide	AlClO					-348109.0	-350059.0	248.931	50.068
13596-12-8	Aluminum Fluoride Oxide	AlFO					-581576.0	-583088.0	237.316	46.806
13597-96-1	Beryllium Fluoride	BeF					-169870.0	-198170.0	205.751	29.872
13597-97-2	Beryllium Hydride	HBe					321197.0	290773.0	176.822	29.224
13597-98-3	Beryllium Iodide	BeI					170018.0	119397.0	237.297	33.475
13598-12-4	Beryllium Chloride Fluoride	BeClF					-573208.0	-580397.0	246.486	49.413
13598-22-6	Beryllium Sulfide	BeS					263592.0	213267.0	210.288	30.786
13598-42-0	Iodosilane	H3ISi					-2092.0	-1529.0	271.022	54.401
13637-63-3	Chlorine Fluoride	ClF5					-238488.0	-146725.0	310.739	97.165
13637-68-8	Molybdenum Chloride Oxide	Cl2MoO2					-633039.0	-597546.0	337.787	85.22
13637-84-8	Sulfuryl Chloride Fluoride	ClFO2S					-556472.0	-512558.0	302.849	71.592
13675-18-8	Dihydroxyborane	H4B2O4					-1284488.0	-1184789.0	348.929	103.433
13701-67-2	Dichloroborane	B2Cl4					-489110.0	-459631.0	358.956	94.839
13701-86-5	Tungsten Bromide	Br6W					-243090.0	-241129.0	482.699	151.369
13701-91-2	Lead Bromide	Br4Pb					-456361.0	-473357.0	426.201	104.631
13703-91-8	Trichloroboroxin	B3Cl3O3					-1631760.0	-1549034.0	382.378	131.525
13703-95-2	Trifluoroboroxin	B3F3O3					-2365215.0	-2279660.0	342.454	115.012
13706-19-9	Molybdenum Chloride	Cl6Mo					-439320.0	-356378.0	419.654	144.125
13709-35-8	Difluorodisulfane	F2S2					-336435.0	-344539.0	294.082	66.041
13709-65-4	Dibromoborane	HBBr2					-104600.0	-125138.0	292.265	53.246
13709-70-1	Bromodichloroborane	BBrCl2					-336812.0	-338417.0	310.4	64.398
13709-71-2	Dibromochloroborane	BBr2Cl					-271960.0	-287556.0	321.889	66.028
13709-83-6	Difluoroborane	HBF2					-733874.0	-724949.0	244.029	42.358
13709-94-9	Potassium Borate	BKO2	-980730.0	-924917.0	88.455	67.028	-674042.0	-680529.0	297.408	59.027
13718-50-8	Barium Iodide	BaI2	-585884.0	-587390.0	183.669	77.488	-302922.0	-353464.0	348.139	57.463
13759-10-9	Silicon Sulfide	S2Si	-206924.0	-207448.0	84.687	77.488				
13760-02-6	Diiodosilane	H2I2Si					-38074.0	-56308.0	326.797	67.98
13762-26-0	Zirconium Chloride	Cl2Zr	-411594.0	-370015.0	122.493	91.002	-186188.0	-195314.0	292.558	57.676
13765-43-0	Phosphino	H2P					125938.0	120979.0	212.652	34.774
13766-26-2	Borane	HB					442667.0	412651.0	171.849	29.181
13766-28-4	Boron Oxide	B2O2					-456056.0	-463743.0	242.597	57.297
13768-60-0	Fluoroborane	BF					-115897.0	-143699.0	200.479	29.591
13768-94-0	Dibromosilane	H2Br2Si					-190372.0	-192860.0	310.051	65.545
13769-75-0	Phosphoryl Chloride Fluoride	ClF2OP					-970688.0	-924090.0	301.689	68.838
13769-76-1	Phosphoryl Chloride Fluoride	Cl2FOP					-765672.0	-721622.0	320.381	79.319
13770-22-4	Hypochlorous Acid-D	ClDO					-78241.0	-64422.0	240.246	38.54
13770-40-6	Amidogen	H2N					190372.0	199846.0	194.707	33.572
13774-92-0	Imidogen	HN					376560.0	370565.0	181.253	29.147
13774-94-2	Silylidyne	HSi					376662.0	342708.0	198.04	30.088
13776-62-0	Nitrogen Fluoride, Trans	F2N2					81170.0	120448.0	262.66	53.466
13776-74-4	Magnesium Silicate	MgO3Si	-1494862.0	-1415346.0	92.515	81.927				
13777-25-8	Zirconium Bromide	Br4Zr					-644754.0	-665984.0	414.487	102.669
