CAS	Compound	Hfg
4914-91-4	cis-3,4-Dimethyl-2-pentene	-102090
4914-92-5	trans-3,4-Dimethyl-2-Pentene	-95690
4974-27-0	2,6-Octadiene	46190
5617-41-4	n-Heptylcyclohexane	-275020
5617-42-5	n-Heptylcyclopentane	-230120
5634-30-0	n-Dodecylcyclopentane	-333170
5707-44-8	1-Ethyl-4-Phenylbenzene	148200
5814-85-7	1,2-Diphenylpropane	116110
5911-04-6	3-Methylnonane	-254390
6006-33-3	n-Tridecylcyclohexane	-398650
6006-34-4	n-Tridecylcyclopentane	-353760
6006-95-7	n-Pentadecylcyclohexane	-439910
6032-29-7	2-Pentanol	-313800
6069-98-3	1-Methyl-4-Isopropylcyclohexane	-135980
6094-02-6	2-Methyl-1-hexene	-76230
6443-92-1	cis-2-Heptene	-69200
6709-39-3	2,6-Dimethyl-1,5-Heptadiene	9450
6742-54-7	n-Undecylbenzene	-158310
6765-39-5	1-Heptadecene	-268400
6785-23-5	n-Undecylcyclopentane	-312550
6812-38-0	n-Hexadecylcyclohexane	-460490
6812-39-1	n-Hexadecylcyclopentane	-415600
7058-01-7	sec-butylcyclohexane	-114520
7145-20-2	2,3-Dimethyl-2-hexene	-162250
7154-79-2	2,2,3,3-Tetramethylpentane	-237110
7154-80-5	3,3,5-Trimethylheptane	-259870
7300-03-0	trans-3-Methyl-3-heptene	-118340
7357-93-9	3-Methyl-2-ethyl-1-butene	-83180
7385-78-6	3,4-Dimethyl-1-pentene	-78530
7385-82-2	trans-5-Methyl-2-hexene	-95270
7417-48-3	3-Methyl-1,2-Pentadiene	68540
7446-09-5	Sulfur Dioxide	-296850
7524-63-2	2,6-Dimethyl-[1,2,3,4-Tetrahydronaphthalene]	-18200
7642-04-8	cis-2-Octene	-94510
7642-09-3	cis-3-Hexene	-48370
7642-10-6	cis-3-Heptene	-68700
7642-15-1	cis-4-Octene	-93720
7647-01-0	Hydrogen Chloride	-92310
7664-39-3	Hydrogen Fluoride	-272600
7664-93-9	Sulfuric Acid	-735120
7688-21-3	cis-2-Hexene	-48370
7704-34-9	Hydrogen Sulfide	-20630
7732-18-5	Water	-241820
10024-97-2	Nitrous Oxide	82040
10035-10-6	Hydrogen Bromide	-36440
10097-32-2	Bromine	30910
10102-43-9	Nitric Oxide	90260
10102-44-0	Nitrogen Dioxide	33100
10544-72-6	Nitrogen Tetroxide	9080
10574-36-4	cis-3-Methyl-2-hexene	-110210
10574-37-5	2,3-Dimethyl-2-pentene	-78540
13151-05-8	4-Methyl-1-Heptene	-102000
13151-55-8	Ethylcycloheptane	-36110
13269-52-8	trans-3-Hexene	-52550
13360-61-7	1-Pentadecene	-227230
13389-42-9	trans-2-Octene	-95300
13475-79-1	2,4-Dimethyl-3-Isopropylpentane	-238860
13475-81-5	2,2,3,3-Tetramethylhexane	-257990
13556-55-3	2,2-Dimethyl-[1,2,3,4-Tetrahydronaphthalene]	-38240
13952-84-6	sec-Butylamine	-104190
14686-13-6	trans-2-Heptene	-73810
14850-22-7	cis-3-Octene	-93710
14850-23-8	trans-4-Octene	-94600
14919-01-8	trans-3-Octene	-94600
15840-60-5	cis-2-methyl-3-hexene	-81550
15869-80-4	3-Ethylheptane	-231460
15869-85-9	5-Methylnonane	-254720
15870-10-7	2-Methyl-1-heptene	-96940
15890-40-1	1,c-2,t-3-Trimethylcyclopentane	-100160
16631-63-3	1-Methyl-1-n-propylcyclopentane	-99410
16746-85-3	4-Ethyl-1-Hexene	-103680
16746-86-4	2,3-Dimethyl-1-hexene	-103010
16747-25-4	2,2,3-Trimethylhexane	-241420
16747-26-5	2,2,4-Trimethylhexane	-243170
16747-28-7	2,3,3-Trimethylhexane	-239280
16747-30-1	2,4,4-Trimethylhexane	-239960
16747-31-2	3,3,4-Trimethylhexane	-235390
16747-32-3	2,2-Dimethyl-3-ethylpentane	-231290
16747-38-9	2,3,3,4-Tetramethylpentane	-236320
16747-50-5	1-Methyl-1-Ethylcyclopentane	-78700
17301-94-9	4-Methylnonane	-254720
17618-77-8	trans-3-Methyl-2-hexene	-88750
18435-45-5	1-Nonadecene	-310040
19374-46-0	1,t-2,c-3-Trimethylcyclopentane	-100160
19781-73-8	n-Heptadecylcyclohexane	-375060
20278-87-9	3,3,4-Trimethylheptane	-257740
22349-03-7	n-Nonadecylcyclohexane	-416480
22531-20-0	1-Ethyl-[1,2,3,4-Tetrahydronaphthalene]	-16190
26232-98-4	cis-4,4-Dimethyl-2-pentene	-94730
26438-26-6	1-n-Nonylnaphthalene	-47500
26438-27-7	1-n-Decylnaphthalene	-68200
28823-41-8	2-Methyl-2,4-Hexadiene	62720
33425-49-9	1-n-Nonyl-[1,2,3,4-Tetrahydronaphthalene]	-173890
40626-78-6	2-Methylhexane	-194720
42775-77-9	6-n-Propyl-[1,2,3,4-Tetrahydronaphthalene]	-79750
54105-66-7	n-Eicosylcyclopentane	-409330
54549-80-3	1,1-Dimethyl-2-Ethylcyclopentane	-120880
55255-57-7	1-n-Decyl-[1,2,3,4-Tetrahydronaphthalene]	-192630
55255-58-8	1-n-Octyl-[1,2,3,4-Tetrahydronaphthalene]	-151670
61886-67-7	2-n-Nonylnaphthalene	-14770
62016-52-8	n-Heptadecylcyclopentane	-347190
62016-53-9	n-Octadecylcyclopentane	-367910
62016-54-0	n-Nonadecylcyclopentane	-388610
66205-02-5	1-n-Hexyl-[1,2,3,4-Tetrahydronaphthalene]	-110250
66324-83-2	1-n-Propyl-[1,2,3,4-Tetrahydronaphthalene]	-75730
66563-99-3	1-n-Heptyl-[1,2,3,4-Tetrahydronaphthalene]	-130960
73548-72-8	trans-6-Methyl-2-Heptene	-158940
