CAS	name	Hfg	S0g
95-93-2	1,2,4,5-tetramethylbenzene	-44560	419.22
95-94-3	1,2,4,5-tetrachlorobenzene	-23400	393.61
96-11-7	1,2,3-tribromopropane	-31540	416.47
96-14-0	3-methylpentane	-172000	383.04
96-15-1	2-methylbutylamine	-122700	377.14
96-17-3	2-methylbutanal	-235200	367.24
96-18-4	1,2,3-trichloropropane	-185770	269.62
96-22-0	diethyl ketone	-257900	370.12
96-33-3	methyl acrylate	-333000	366.32
96-34-4	methyl chloroacetate	-449000	372.17
96-37-7	methylcyclopentane	-106000	339.9
96-47-9	2-methyltetrahydrofuran	-218050	249.04
96-48-0	gamma-butyrolactone	-379000	305.85
96-49-1	ethylene carbonate	-505900	294.51
96-54-8	N-methylpyrrole	103100	307.53
97-00-7	1-chloro-2,4-dinitrobenzene	35100	437.79
97-62-1	ethyl isobutanoate	-499600	434.71
97-63-2	ethyl methacrylate	-381000	443.55
97-64-3	ethyl lactate	-635000	456.54
97-65-4	itaconic acid	-729000	438.62
97-85-8	isobutyl isobutyrate	-547000	511.67
97-88-1	butyl methacrylate	-422000	525.21
97-93-8	triethyl aluminum	-163600	
97-95-0	2-ethyl-1-butanol	-320900	445.4
97-96-1	2-ethylbutanal	-266000	372.11
97-99-4	tetrahydrofurfuryl alcohol	-369200	373.42
98-00-0	furfuryl alcohol	-218900	408.22
98-01-1	furfural	-151040	333.65
98-06-6	tert-butylbenzene	-21630	396.85
98-07-7	benzotrichloride	-12340	401.92
98-08-8	benzotrifluoride	-600000	373.23
98-29-3	p-tert-butylcatechol	-376000	479.68
98-46-4	3-nitrobenzotrifluoride	-602000	433.77
98-51-1	1-methyl-4-tert-butylbenzene	-54300	440.12
98-56-6	p-chlorobenzotrifluoride	-619650	403.43
98-82-8	cumene	4000	389.32
98-83-9	alpha-methylstyrene	118700	372.34
98-86-2	acetophenone	-86600	385.02
98-87-3	benzyl dichloride	13000	386.31
98-88-4	benzoyl chloride	-105300	368.59
98-95-3	nitrobenzene	67600	358.89
99-08-1	m-nitrotoluene	20800	388.66
99-09-2	m-nitroaniline	58500	382.19
99-35-4	1,3,5-trinitrobenzene	-37400	
99-54-7	1,2-dichloro-4-nitrobenzene	14600	404.34
99-62-7	m-diisopropylbenzene	-77600	499.97
99-63-8	isophthaloyl chloride	-302000	463.84
99-65-0	m-dinitrobenzene	53800	376.5
99-71-8	4-sec-butylphenol	-195790	456.05
99-83-2	alpha-phellandrene	-9300	431.03
99-85-4	gamma-terpinene	-11700	456.52
99-86-5	alpha-terpinene	-20600	436.73
99-87-6	p-cymene	-29000	427.13
99-89-8	4-isopropylphenol	-175150	417.1
99-94-5	p-toluic acid	-322800	406.69
99-99-0	p-nitrotoluene	31000	382.62
100-00-5	p-chloronitrobenzene	37200	366.86
100-01-6	p-nitroaniline	59500	378.83
100-10-7	p-dimethylaminobenzaldehyde	-27900	435.83
100-18-5	p-diisopropylbenzene	-77600	489
100-21-0	terephthalic acid	-717900	449.47
100-25-4	p-dinitrobenzene	50800	376.5
100-40-3	vinylcyclohexene	65100	377.54
100-41-4	ethylbenzene	29900	361.24
100-42-5	styrene	148300	344.93
100-44-7	benzyl chloride	18700	361.91
