CAS	Chemical	molecular_diameter	Stockmayer
17455-13-9	18-Crown-6	7.26959	751.17
17455-23-1	Dicyclohexano-24-crown-8	8.6225	1050.83
21679-46-9	Cobalt(III) acetylacetonate	6.9752	443.87
23314-57-0	Triarachidonin	10.74274	1160.74
25265-71-8	Dipropylene glycol	5.83824	506.2
26227-73-6	N-(4-Methoxybenzylidene)-4- n-butylaniline	7.55769	744.64
33100-27-5	15-Crown-5	6.7975	678.64
33105-81-6	tert-Leucine	6.12747	593.57
56219-06-8	Myristoleic acid methyl ester	7.79244	602.01
73310-10-8	EPA ethyl ester	8.61744	749.36
79917-90-1	[Bmim][Cl]	6.65684	610.69
81913-24-8	Trinervonin	11.77257	1239.25
84494-72-4	DHA ethyl ester	8.77291	792.02
143314-16-3	[Emim][BF4]	6.43491	461.46
174501-64-5	[Bmim][PF6]	7.39993	556.82
174501-65-6	[Bmim][BF 4]	6.85996	497.84
174899-66-2	[Bmim][CF 3SO 3]	7.04617	792.19
174899-82-2	[Emim][bti]	7.23444	966.96
174899-83-3	[Bmim][bti]	7.59636	982.9
178631-04-4	[Omim][bti]	8.17464	1019.98
342573-75-5	[Emim][C 2H5SO4]	6.51544	826.25
370865-89-7	[Emim][C 2N3]	7.02553	773.23
382150-50-7	[Hmim][bti]	7.90445	1000.63
401788-98-5	[Bmim][MeSO4]	6.76119	837.16
445473-58-5	[Bmim][OcSO4]	8.06138	920.91
790663-77-3	[Emim][MDEGSO4]	7.39055	900.08
