CAS	Chemical	A	B	C	D	E	Tmin	Tmax
79-31-2	Isobutyric acid	127540	-65.35	0.82867	0	0	270	427.65
75-31-0	Isopropyl amine	-32469	1977.1	-7.0145	0.0086913	0	177.95	320
141-82-2	Malonic acid	157850	-41.619	0.42817	0	0	407.95	603.75
79-41-4	Methacrylic acid	146290	-58.59	0.3582	0	0	288.15	434.15
67-56-1	Methanol	105800	-362.23	0.9379	0	0	175.47	400
79-16-3	N-Methyl acetamide	62600	243.4	0	0	0	359	538.5
79-20-9	Methyl acetate	61260	270.9	0	0	0	253.4	373.4
74-99-7	Methyl acetylene	79791	89.49	0	0	0	200	249.94
96-33-3	Methyl acrylate	275500	-1147	2.568	0	0	196.32	353.35
74-89-5	Methyl amine	92520	37.45	0	0	0	179.69	266.82
93-58-3	Methyl benzoate	125630	279.75	0	0	0	260.75	472.65
598-25-4	3-Methyl-1,2-butadiene	135370	-133.34	0.63868	0	0	159.53	314.56
78-78-4	2-Methylbutane	108300	146	-0.292	0.00151	0	113.25	310
116-53-0	2-Methylbutanoic acid	74200	417.4	0	0	0	321.5	481.5
123-51-3	3-Methyl-1-butanol	247870	-1145	3.4223	0	0	155.95	404.15
563-46-2	2-Methyl-1-butene	149510	-247.63	0.91849	0	0	135.58	304.31
513-35-9	2-Methyl-2-butene	151600	-266.72	0.90847	0	0	139.39	311.71
78-80-8	2-Methyl-1-butene-3-yne	81919	181.01	0	0	0	298.15	305.4
628-28-4	Methylbutyl ether	177850	-171.57	0.74379	0	0	157.48	343.31
628-29-5	Methylbutyl sulfide	198390	-220.35	0.76096	0	0	175.3	510
598-23-2	3-Methyl-1-butyne	105200	191.1	0	0	0	200	299.49
623-42-7	Methyl butyrate	102930	129.1	0.62516	0	0	277.25	415.87
993-00-0	Methylchlorosilane	47726	338.4	0	0	0	250	325
108-87-2	Methylcyclohexane	131340	-63.1	0.8125	0	0	146.58	320
590-67-0	1-Methylcyclohexanol	50578	508.59	0	0	0	300	441.15
7443-70-1	cis-2-Methylcyclohexanol	118600	447.07	0	0	0	300	438.15
7443-52-9	trans-2-Methylcyclohexanol	118170	447.99	0	0	0	300	440.15
96-37-7	Methylcyclopentane	155920	-490	2.1383	-0.0015585	0	130.73	366.48
693-89-0	1-Methylcyclopentene	53271	327.92	0	0	0	200	348.64
1120-62-3	3-Methylcyclopentene	46457	346.93	0	0	0	200	338.05
75-54-7	Methyldichlorosilane	27030	413	0	0	0	250	350
540-67-0	Methylethyl ether	85383	199.08	-0.061547	0	0	160	280.5
78-93-3	Methylethyl ketone	132300	200.87	-0.9597	0.0019533	0	186.48	373.15
624-89-5	Methylethyl sulfide	161240	-288.61	0.78179	0	0	167.23	339.8
107-31-3	Methyl formate	130200	-396	1.21	0	0	174.15	304.9
625-44-5	Methylisobutyl ether	92919	324.43	0	0	0	298.15	350
108-10-1	Methylisobutyl ketone	183650	-79.862	0.60769	0	0	189.15	389.15
624-83-9	Methyl Isocyanate	149770	-529.82	1.3499	0	0	256.15	366
598-53-8	Methylisopropyl ether	143440	-154.07	0.7255	0	0	127.93	310
563-80-4	Methylisopropyl ketone	191170	-331.04	0.98445	0	0	180.15	440
1551-21-9	Methylisopropyl sulfide	211170	-661.97	2.4216	-0.0021383	0	171.64	357.91
74-93-1	Methyl mercaptan	115300	-263.23	0.60412	0	0	150.18	298.15
80-62-6	Methyl methacrylate	255100	-938.4	2.413	0	0	224.95	373.45
3004-93-1	2-Methyloctanoic acid	226650	15.421	1.0578	0	0	240	518.15
107-83-5	2-Methylpentane	142220	-47.83	0.739	0	0	119.55	333.41
628-80-8	Methyl pentyl ether	251890	-468.32	1.2209	0	0	176	372
75-28-5	2-Methylpropane	172370	-1783.9	14.759	-0.047909	0.00005805	113.54	380
75-65-0	2-Methyl-2-propanol	-925460	7894.9	-17.661	0.013617	0	298.96	460
115-11-7	2-Methyl propene	87680	217.1	-0.9153	0.002266	0	132.81	343.15
554-12-1	Methyl propionate	71140	335.5	0	0	0	300	390
557-17-5	Methylpropyl ether	144110	-102.09	0.58113	0	0	133.97	312.2
3877-15-4	Methylpropyl sulfide	179850	-264.1	0.79202	0	0	160.17	368.69
992-94-9	Methylsilane	113470	0	0	0	0	298.15	298.15
98-83-9	alpha-Methyl styrene	76822	421.6	0	0	0	249.95	438.65
1634-04-4	Methyl tert-butyl ether	134300	94.356	-0.0032	0.0009795	0	164.55	328.18
107-25-5	Methyl vinyl ether	73600	184.7	0	0	0	151.15	278.65
91-20-3	Naphthalene	29800	527.5	0	0	0	353.43	491.14
7440-01-9	Neon	1034100	-138770	7154	-162.55	1.3841	24.56	40
79-24-3	Nitroethane	187740	-497.6	1.0691	0	0	183.63	387.22
7727-37-9	Nitrogen	281970	-12281	248	-2.2182	0.0074902	63.15	112
7783-54-2	Nitrogen trifluoride	101400	-682.11	3.8912	0	0	117	175.5
75-52-5	Nitromethane	116270	-135.3	0.345	0	0	244.6	473.15
10024-97-2	Nitrous oxide	67556	54.373	0	0	0	182.3	200
10102-43-9	Nitric oxide	-2979600	76602	-652.59	1.8879	0	109.5	150
629-92-5	Nonadecane	342570	762.08	0.20481	0	0	305.04	603.05
124-19-6	Nonanal	136820	531.29	0	0	0	255.15	468.15
111-84-2	Nonane	383080	-1139.8	2.7101	0	0	219.66	325
