Compound Number	Compound Name	Compound Formula	CAS Number	Molecular Wt	A	B	C	D	E	Tmin	Cp at Tmin 	Tmax	Cp at Tmax 	
68	Cyclohexene	C6H10	110-83-8	82.144	105850.00000000	-60.0000000	0.68000000	0.00000000	0.0000000	169.67	1.15E-05	356.12	1.71E-05	
69	Cyclopentane	C5H10	287-92-3	70.133	122530.00000000	-403.8000000	1.73440000	-0.00109750	0.0000000	179.28	9.96E-06	322.40	1.36E-05	
70	Cyclopentene	C5H8	142-29-0	68.117	125380.00000000	-349.7000000	1.14300000	0.00000000	0.0000000	138.13	9.89E-06	317.38	1.30E-05	
71	Cyclopropane	C3H6	75-19-4	42.08	89952.00000000	-196.6300000	0.65237000	0.00000000	0.0000000	150.00	7.51E-06	298.15	8.93E-06	
72	Cyclohexyl mercaptan	C6H12S	1569-69-3	116.224	177560.00000000	-179.1200000	0.76723000	0.00000000	0.0000000	189.64	1.71E-05	431.95	2.43E-05	
73	Decanal	C10H20O	112-31-2	156.265	150460.00000000	586.6300000	0.00000000	0.00000000	0.0000000	267.15	3.07E-05	488.15	4.37E-05	
74	Decane	C10H22	124-18-5	142.282	278620.00000000	-197.9100000	1.07370000	0.00000000	0.0000000	243.51	2.94E-05	460.00	4.15E-05	
75	Decanoic acid	C10H20O2	334-48-5	172.265	219840.00000000	140.4100000	0.99680000	0.00000000	0.0000000	304.75	3.55E-05	543.15	5.90E-05	
76	1-Decanol	C10H22O	112-30-1	158.281	4988500.00000000	-52898.0000000	216.35000000	-0.37538000	0.0002367	280.05	3.54E-05	503.00	5.02E-05	
77	1-Decene	C10H20	872-05-9	140.266	417440.00000000	-1616.5000000	5.39480000	-0.00434800	0.0000000	206.89	2.75E-05	443.75	3.83E-05	
78	Decyl mercaptan	C10H22S	143-10-2	174.347	314570.00000000	-160.9300000	0.95561000	0.00000000	0.0000000	247.56	3.33E-05	512.35	4.83E-05	
79	1-Decyne	C10H18	764-93-2	138.25	276900.00000000	-371.2300000	1.57740000	0.00000000	0.0000000	229.15	2.75E-05	447.15	4.26E-05	
80	Deuterium	D2	7782-39-0	4.032	0.00000000	0.0000000	0.00000000	0.00000000	0.0000000	0.00	0.00E+00	0.00	0.00E+00	
81	1,1-Dibromoethane	C2H4Br2	557-91-5	187.861	149400.00000000	-231.8000000	0.59460000	0.00000000	0.0000000	210.15	1.27E-05	381.15	1.47E-05	
82	1,2-Dibromoethane	C2H4Br2	106-93-4	187.861	200560.00000000	-491.4400000	0.91870000	0.00000000	0.0000000	282.85	1.35E-05	410.00	1.54E-05	
83	Dibromomethane	CH2Br2	74-95-3	173.835	202580.00000000	-726.3000000	1.33770000	0.00000000	0.0000000	240.00	1.05E-05	370.10	1.17E-05	
84	Dibutyl ether	C8H18O	142-96-1	130.228	270720.00000000	-259.8300000	0.95427000	0.00000000	0.0000000	175.30	2.55E-05	450.00	3.47E-05	
