"CASRN"	"Name"	"Formula"	"Lifetime, years"	"Radiative efficiency, W/m^2/ppb"	"20yr GWP"	"100yr GWP"	"20yr GTP"	"50yr GTP"	"100yr GTP"
"160620-20-2"	"HFE-356pcc3"	"CH3OCF2CF2CHF2"	3.8	0.32	1510	413	718	79	57
"13171-18-1"	"HFE-356mmz1"	"(CF3)2CHOCH3"	0.27	0.15	50	14	15	2	2
"378-16-5"	"HFE-365mcf3"	"CF3CF2CH2OCH3"	0.05	0.05	3				
"22052-81-9"	"HFE-365mcf2"	"CF3CF2OCH2CH3"	0.6	0.26	215	58	66	10	8
"512-51-6"	"HFE-374pc2"	"CHF2CF2OCH2CH3"	5	0.3	2260	627	1240	132	88
"461-18-7"	"4,4,4-Trifluorobutan-1-ol"	"CF3(CH2)2CH2OH"	0.01	0.01					
"16621-87-7"	"2,2,3,3,4,4,5,5-Octafluorocyclopentanol"	"-(CF2)4CH(OH)-"	0.3	0.16	47	13	14	2	2
"188690-77-9"	"HFE-43-10pccc124 (H-Galden 1040x, HG-11)"	"CHF2OCF2OC2F4OCHF2"	13.5	1.02	8010	2820	6600	1530	436
"163702-07-6"	"n-HFE-7100"	"n-C4F9OCH3"	4.7	0.42	1760	486	934	99	68
"163702-08-7"	"i-HFE-7100"	"i-C4F9OCH3"	4.7	0.35	1480	407	783	83	57
"163702-05-4"	"n-HFE-7200"	"n-C4F9OC2H5"	0.8	0.35	237	65	75	11	9
"163702-06-5"	"i-HFE-7200"	"i-C4F9OC2H5"	0.8	0.24	163	44	52	8	6
"78522-47-1"	"HFE-236ca12 (HG-10)"	"CHF2OCF2OCHF2"	25	0.65	11000	5350	10300	4770	1420
"188690-78-0"	"HFE-338pcc13 (HG-01)"	"CHF2OCF2CF2OCHF2"	12.9	0.86	8430	2910	6860	1500	442
"920-66-1"	"1,1,1,3,3,3-Hexafluoropropan-2-ol"	"(CF3)2CHOH"	1.9	0.26	668	182	243	32	25
"205367-61-9"	"HG-02"	"HF2C(OCF2CF2)2 OCF2H"	12.9	1.24	7900	2730	6430	1410	415
"173350-37-3"	"HG-03"	"HF2C(OCF2CF2)3 OCF2H"	12.9	1.76	8270	2850	6730	1480	434
