Name	CAS	Acronym	Formula	Lifetime, years	Radiative efficiency, W/m^2/ppb	20yr AGWP	20yr GWP	100yr AGWP	100yr GWP	500yr AGWP	500yr GWP	50yr AGTP	50yr GTP	100yr AGTP	100yr GTP	50yr CGTP	100yr CGTP
Prop-2-enyl 2,2,2-trifluoroacetate	383-67-5		CF3COOCH2CH=CH2	0.003	0.005	6.36E-016	0.026	6.48E-016	0.007	6.49E-016	0.002	6.79E-019	0.002	5.15E-019	0.001	0.745	0.881
Methyl 2,2,2-trifluoroacetate	431-47-0		CF3COOCH3	1	0.158	0.00000000000721	296	0.00000000000736	82.3	0.00000000000736	23.5	7.78E-015	18.2	5.87E-015	14.9	8430	9980
2,2,3,3,4,4,4-heptafluorobutan-1-ol	375-01-9		CF3CF2CF2CH2OH	0.55	0.199	0.0000000000032	131	0.00000000000326	36.5	0.00000000000326	10.4	3.43E-015	8.03	2.6E-015	6.58	3740	4430
1,1,2-trifluoro-2-(trifluoromethoxy)ethane	84011-06-3		CHF2CHFOCF3	9	0.353	0.0000000000976	4010	0.000000000113	1260	0.000000000113	359	0.000000000000162	379	0.0000000000000933	236	126000	151000
1-ethoxy-1,1,2,3,3,3-hexafluoropropane	380-34-7		CF3CHFCF2OCH2CH3	0.403	0.193	0.00000000000232	95.2	0.00000000000236	26.4	0.00000000000237	7.54	2.49E-015	5.81	1.88E-015	4.77	2710	3210
1,1,1,2,2,3,3-heptafluoro-3-(1,2,2,2-tetrafluoroethoxy)propane	3330-15-2		CF3CF2CF2OCHFCF3	59.4	0.591	0.000000000202	8320	0.000000000593	6630	0.000000000733	2340	0.00000000000293	6860	0.00000000000163	4140		
2,2,3,3-tetrafluoropropan-1-ol	76-37-9		CHF2CF2CH2OH	0.255	0.112	0.00000000000127	52	0.00000000000129	14.4	0.00000000000129	4.12	1.36E-015	3.17	1.03E-015	2.6	1480	1750
2,2,3,4,4,4-hexafluorobutan-1-ol	382-31-0		CF3CHFCF2CH2OH	0.367	0.227	0.00000000000267	110	0.00000000000273	30.5	0.00000000000273	8.69	2.87E-015	6.7	2.17E-015	5.5	3130	3700
1,1,2,2-tetrafluoro-3-methoxypropane	60598-17-6		CHF2CF2CH2OCH3	0.071	0.052	0.000000000000147	6.03	0.00000000000015	1.68	0.00000000000015	0.478	1.57E-016	0.367	1.19E-016	0.302	172	203
1,1,1,2,2,4,5,5,5-nonafluoro-4-(trifluoromethyl)pentan-3-one	756-13-8		CF3CF2COCF(CF3)2	0.019	0.028	0.00000000000001	0.411	0.0000000000000102	0.114	0.0000000000000102	0.033	1.07E-017	0.025	8.12E-018	0.021	11.7	13.9
