CAS	Tm	Tb	Vms	Vml
100991-93-3	430.15			
101-00-8	427.65			
101-01-9	419.65			
101-02-0	298.15	633.15	0.00026201655	
101-05-3	432.65		0.00015306667	
101-06-4	319.65			
101-09-7	518.15			
101-10-0	386.65			
101-12-2	403.65			
101-14-4	383.15	652.05	0.00018552083	
101-16-6	346.15			
101-17-7	385.15	611.15		
101-18-8	354.65	613.15		
101-20-2	528.75			
101-21-3	314.05		0.0001810678	
101-23-5				
101-24-6	461.15			
101-25-7	373.85			
101-26-8	426.15			
101-27-9	348.65		0.00018396294	
101-29-1	513.15			
101-30-4	349.65			
101-31-5	381.65			
101-32-6	469.65			
101-36-0				
101-37-1	302.65		0.0002225625	
101-38-2	339.15			
101-39-3		524.75		
101-40-6		478.15		
101-41-7	384.15	489.65	0.00015174818	
101-42-8	406.65		0.00015203704	
101-43-9		483.15		
101-45-1				
101-47-3				
101-48-4		493.15		
101-49-5				0.00015105796
101-52-0	516.15			
101-53-1	357.15	595.15		
101-54-2	348.15	627.15	0.00016902752	
101-55-3	291.87	583.25		0.0001548359
101-57-5	479.15			
101-58-6				0.00041627637
101-59-7	416.15			
101-60-0	633.15			
101-61-1	363.65			
101-62-2	488.65			
101-63-3	411.65			
101-64-4	375.15	511.15		
101-65-5	441.15			
101-67-7	358.15		0.00039762626	
101-68-8	310.15	469.15	0.00020906433	
101-70-2	376.15			
101-71-3	421.65			
101-72-4	348.15	434.15	0.00021761538	
101-73-5				
101-74-6	418.15			
101-75-7	353.65			
101-76-8	328.65			
101-77-9	364.9	671.65		0.00018774621
101-79-1	373.15			
101-80-4	459.65			
101-81-5	299.05	537.65	0.00016706058	
101-82-6	285.65	550.15		0.0001603981
101-83-7	273.05	528.95		0.0001991652
101-84-8	301.15	532.15	0.00015760185	
101-85-9				0.00021395958
101-86-0		578.15		
101-87-1	391.65			
101-90-6	305.65		0.00018366942	
101-91-7	412.65			
101-92-8	339.65			
101-93-9	389.65			
101-94-0	347.65			
101-96-2	291.15			2.3441489e-06
101-97-3	243.75	500.15		0.00017217154
101-98-4				
101-99-5	325.65	511.15	0.00014930405	
1010-19-1	399.15			
1010-48-6	333.15			
1010-50-0	340.65			
1010-54-4	429.15			
1010-55-5	523.65			
1010-60-2	384.65			
1010-69-1	369.15			
1010-93-1	450.15			
1010-95-3	566.65			
1010-99-7	331.65			
101001-34-7	407.15			
101001-63-2	372.15			
101007-06-1	354.65			
10101-50-5				
10101-52-7	2823.15		4.1083083e-05	
10101-53-8				
10101-58-3	1553.15			
10101-63-0	675.15		7.4839114e-05	
10101-95-8				
101012-12-8	438.15			
101012-32-2	358.65			
101018-98-8	380.65			
101018-99-9	371.65			
10102-03-1	303.15		5.2687805e-05	
10102-06-4	333.35	391.15	1.4022687e-06	
10102-17-7	338.15			
10102-18-8	983.15			
10102-24-6	1477.15		3.3746262e-05	
10102-43-9	109.55	121.41		
10102-44-0	263.85	294.3		
10102-45-1	479.15		4.8127455e-05	
10102-68-8	1013.15	1373.15		
10102-90-6	1413.15		5.750502e-05	
101023-55-6	486.15			
101023-58-9	306.15			
10103-89-6	448.65			
10103-90-9	390.65			
1010396-29-8	393.15			
101048-76-4	360.65			
10105-90-5	427.15			
10106-41-9	484.65			
101071-97-0	462.65			
101071-99-2	520.15			
101072-02-0	524.15			
101079-63-4	455.15			
101079-67-8	370.15			
101079-68-9	285.15			
101079-91-8				0.00016880196
10108-12-0	413.15			
10108-56-2		480.15		
10108-61-9	307.15			
10108-64-2	841.15	1233.15	4.5263457e-05	
10108-73-3				
10108-80-2		480.65		0.00019725424
101080-36-8	349.4			
101080-64-2	354.65			
101084-61-1	454.65			
101084-82-6				
10109-66-7	411.15			
10109-76-9	385.15			
10109-95-2	583.15			
1011-12-7	330.15	408.15	0.00017750672	
1011-13-8				
1011-15-0	450.65		0.00015808772	
1011-20-7	530.65			
1011-28-5	348.9			
1011-38-7	339.65	338.15		
1011-40-1	367.65			
1011-42-3	471.15			
1011-43-4	504.65			
1011-46-7	422.65			
1011-47-8	325.15			
1011-48-9	307.65			
1011-49-0	352.15			
1011-50-3	377.15			
1011-54-7	455.15			
1011-60-5	453.15			
1011-74-1	465.65			
1011-92-3	452.65			
1011-93-4	425.15			
1011-95-6	256.15			
10110-15-3	443.65			
10110-24-4	432.65			
10111-08-7	477.15			
10112-15-9				
10112-91-1	673.15		6.6026014e-05	
101128-43-2				
10113-34-5	412.65			
10113-35-6	449.65			
10113-37-8	436.65			
10114-49-5	471.15			
10114-51-9	590.15			
101140-06-1	532.15			
101152-94-7	458.15			
10116-22-0	379.15			
101167-02-6	442.4			
10117-11-0		409.15		
101171-43-1	307.65			
1011711-58-2	463.15			
10118-56-6	478.15			
10118-76-0				
101184-09-2	493.65			
101184-11-6	575.65			
101186-02-1				
1012-12-0				
1012-61-9				
1012-72-2	352.65	511.15		
1012-73-3	396.65			
1012-82-4	484.65			
1012-84-6	482.45			
1012-91-5				
1012-96-0	520.65			
101200-48-0	414.15		0.00026359333	
101205-02-1	314.15			
10123-62-3				0.00017238705
101234-76-8	421.9			
10124-36-4	1273.15		4.4870919e-05	
10124-37-5	833.15	394.15	4.1236336e-05	
10124-43-3	1008.15		4.2321208e-05	
10124-48-8				
10124-50-2				
10124-65-9				
10124-68-2				
10124-86-4				
10124-98-8				
101246-66-6	424.65			
101246-68-8	335.15			
10125-11-8	550.15			
10125-18-5	356.4			
10125-76-5	357.15			
101251-11-0				
101251-13-2				
101252-53-3	371.65			
101257-34-5	480.65			
101257-37-8	431.15			
101257-84-5	379.65			
101258-10-0	457.15			
10126-68-8	335.65			
101267-05-4	335.15			
10128-55-9	458.3			
10128-72-0	352.65			
10128-73-1	474.15			
1012836-59-7	450.65			
10129-44-9	366.15			
10129-58-5	323.9			
10129-71-2	437.15			
10129-78-9	425.8			
1013-01-0	446.65			
1013-20-3	398.15			
1013-22-5				
1013-23-6	461.4			
1013-24-7				
1013-25-8				
1013-27-0				
1013-48-5	531.15			
1013-69-0	552.15			
1013-75-8		527.15		
1013-76-9				
1013-77-0	509.15			
1013-88-3		555.15		
1013-91-8				0.00018271315
1013-99-6	360.65			
10130-89-9	508.15			
10130-91-3	449.95			
101301-18-2	460.15			
101306-11-0	337.15			
10131-46-1				
10131-47-2	419.65			
10132-02-2	454.15			
10132-07-7	544.15			
101327-86-0	426.15			
101328-85-2	474.15			
10133-20-7	319.95			
10133-22-9	370.15			
10133-33-2	461.65			
10133-35-4	377.65			
10133-37-6	483.65			
10133-50-3				0.00014970814
10133-88-7	428.15			
1013333-23-7	510.15			
101336-63-4	436.65			
101336-64-5	388.15			
101337-93-3	463.65			
10134-98-2	444.65			
10134-99-3	413.15			
1013405-25-8	510.15			
101345-67-9	369.65			
101349-72-8				0.00011784183
101349-84-2	506.15			
10135-02-1	374.65			
10135-23-6	323.15			
10136-65-9	311.65			
10137-67-4				
10137-69-6				
10137-73-2				0.00016639698
10137-74-3	613.15		4.5954664e-05	
10137-80-1		439.15		
10137-87-8				0.00016345016
