CAS	Tt	Tm	Tb	Tc	Pt	Pc	Vc	Hfs	Hfl	Hfg	S0s	S0l	S0g	Hsub	Hfus	Hvap	AntoineTmin	AntoineTmax	AntoineA	AntoineB	AntoineC
104518	185.21631	185.1	456	660.43724		2889607.5	0.000497		-62916.951	-12816.951		321.21106	437.86			51009.457	369.38	457.48	20.972129	3633.3987	-71.772
104529			492.7																		
104541		307.99187	523.2026														345.8	523	23.076761	5620.0622	-36.713
104552		265.7														62400	349.3	519	24.06358	6163.0256	-27.816
104574			476.15																		
104610																70300					
104632																74500					
104723	258.75	258.74	566.2						-219100				674			78391.52	476.14	570.9	21.1171	4403.7078	-111.891
104756			442.2													52220					
104767			456	640.74591		2800000			-432880	-367500		347				68500	347.22	456.7	20.755249	3053.1104	-126.68
104789			437.38698																		
104790			431.7																		
104814		307.15	492.2																		
104825			474.2																		
104847			468.2																		
104858		299.70052	490.84077																		
104869			488.2																		
104870			477.7																		
104881		319.85	486.7																		
104892		258.3																			
104905		202.85	451.29289						-11400	34900						46300	325.1	449.81	17.853416	1855.6948	-159.98
104927			492.31372													58300	317.9	496	23.910343	6268.2353	10.592
104938		241.50356	447.35524	666																	
104949		331.19862	514.70051																		
104950			528																		
104961			545.7																		
104972			472.7																		
10403608			415.96639																		
10405273		142	250																		
10409060								-643200		-481300				162000		149000					
1041823			403																		
10410352			493.7																		
10412427		217.85	425.55																		
10420903			358																		
10420914			353.7																		
10424381			392.7							-53680						44120					
10430974		311																			
10430985		312																			
10431002		324																			
10431988			401.6						-193100	-148900						44210					
10433064																58700					
10435684								-138000		2000				139750							
10438945		296																			
10444594								441000													
10447935			494.2																		
10448267		253.86																			
10453868		330.62																			
10458147			481.7																		
10461980								204800													
10476810								-717970	-705100	-407100	143.43	154.84	323.41								
10476854		1146						-828850	-805350	-473210	114.81	135.82	316.34	328900							
10476865								-561490	-548750	-274890	159.12	172.42	339.55								
10476956			464.2																		
1048051								532300		689333.33				164457.85							
1048084		505.40048												153659.82							
10482561		308																			
10484114		251.98																			
10486198		287.93077	553.15													73300					
10487715			394																		
10488105		314																			
10495451		290.01389	515.22254						-625170	-535600						90000					
10498358		268	480.1																		
105055		229.7726	456.8	657.89717		2800392.5			-72845.09							52500	369.97	457.97	21.012102	3659.4363	-71.131
105066		303.19944																			
105088			556.2																		
105135		290.15	532.28405																		
105168		207.5																			
105215																62300					
105293									-82100												
105306			421	604.4		3450000										59400	298	423	25.784348	6044.6151	3.181
105340		260	476.27108						-309530.66	-243300						64527.531					
105362			431.16662																		
105373		199.36687	372.2	548		3410566.7	0.00034843206		-504944.34	-465852.1						39000	306.93	371.46	21.057739	2935.1858	-64.218
105384		192.07																			
105395			417													49482.257	298	419.1	22.286284	3973.9671	-47.31
105408			443.2														299.7	443	23.728393	4981.0212	-35.103
105420			413																		
105431		231.6	469																		
105453		241.25	444						-623210												
105464			385																		
105486			423.7													38000	308	425.8	23.984947	5211.1323	-3.411
105500			523.2																		
105533		222.43117	471.93598						-986600	-840356.5						64800	313	472.1	25.111164	6596.4964	13.407
105544		173.26449	394	568.79881		3064000	0.00042016807		-528400	-485000						42000	254.8	394	21.487425	3475.621	-45.284
105555		350.6												121225.94							
105566	215.80189	371.65	482.2						-330300			232.01819					341	479	28.706881	8504.9734	16.138
105577			373	539.696		3220000				-453600						39373.78	273	343	20.827389	2930.5622	-61.87
105588			399.6						-701974.57	-640059.26						50000	263.1	399	22.51044	3964.8305	-37.959
105599		252.15	520.24643																		
105602	342.30909	342.29073						-329400		-239600	172.54342			88530							
105668		178	416	593.05394		2720000											271.6	415.9	22.192868	4020.8317	-39.08
105679		298	484	739.08743		10132500			-228800	-163000						64452.713	417.53	485.47	21.164602	3673.8666	-102.913
105680			433.89642	611.39																	
105726																73205					
105759		255.1																			
105760			553.8																		
105806									-1177900												
105828			388.518																		
105839		243.6																			
105862																	334.9	503	23.081919	5330.6065	-41.917
105873																	346.7	516.5	24.059228	6154.9366	-25.54
105997			578.2																		
10500579	222.63	222.634	493.14314						13400	71000		248.71181				57580					
10504048			394.65																		
10507718								132200													
10508095									-599600												
10514791										49400											
10519207									-383257												
10525378		331.54519																			
10537630		306.4																			
105386854								-1534000													
1054666			437																		
10541385		264																			
10542446									377000												
10544500													430.23								
10544726								-35050	-19560	9080	150.38	209.2	304.38								
10544737										82840			308.54								
10544953		272.2																			
10544964		269.2																			
10545990		424							-49790	-17570		183.68	281.6								
10546017										-908450			304.75								
1055238								326900		475000				148000							
10553318								-757720	-730190	-424680	148.53	172.11	342.07								
10557445			371.8						-151100	-111300						37200					
10557821									-70200	-20000						50000					
10563107										173000											
10563118										96200											
10568384																	306.9	469.7	22.361348	4658.6615	-39.966
10569729								-269000													
10570691		309.65	502.15																		
105728232									-190800							53280					
10573350			448.9																		
10574171			467.69613																		
10574364			370.49337													35600					
10574375		154.7	368													35600					
10575561			432.40963																		
105879138										-417000											
10588100									-620000	-569000						51000					
10599572			399.15																		
106025	308.5	310.18329						-716654.39			482.85361										
106183		266.31														89200					
106218																	341	466.7	29.25409	8140.7435	-7.093
106229			495.20599													63500	339.6	494.7	24.850627	6244.5141	-26.552
106230			481																		
106241			503.19652																		
106263																60200					
106274			451	618.83													294.4	451.8	22.217091	4399.8717	-40.296
106296																	370	530.6	25.042593	6595.8955	-42.58
106309		206.9	461.54812	634.3					-603800	-548000						55900					
106310		198.15	469.44587																		
106321		228.4	480.20196	649.00274					-629500	-570000						59250					
106332		262.5	448.77163													80000					
106354		420.45	420	606.6			0.00043290043														
106365		197.3	396	569.89447		3060000										43469.669	258.9	395.6	22.01725	3701.5621	-42.738
106376		360	491.72471											74191.709			334	491.8	17.242747	1745.2674	-191.23
106387		300	457.49954						12000								283.4	457.7	26.260407	8096.1448	92.523
106398		338	469.12487						28000					69249.494							
106401			492.9											79400							
106412		336.5	509.91446											83511.24							
106423	286.39981	286.4	411.4	617		3500000	0.000378		-24400	17900		247.14326				42000	286.43	452.38	21.058361	3394.9384	-55.377
106434		280.5	435	615.9												45989.774	278.7	435.5	21.816027	4133.8149	-34.28
106445	307.94	307	475	703.86084		4164759.7		-199246.38	-193000	-125346.38	167.32			73127.598		46610	401.2	475.03	21.047769	3450.6057	-112.6
106456			468.2																		
106467	326.15	326.1	447.3					-42300		24600	175.41			64914.516		52289.041	341.12	447.21	21.006484	3626.8248	-64.637
106478		343	505.20009					-33300						80500		61275.616	332.4	503.7	22.746686	5190.6255	-41.619
106489		316	492.9											77100		64400	322.9	493	22.864094	5247.2437	-30.8
106490		317	474	667.15		2381140			19000	42518.1				77031.84		57565.933	315	473.6	22.378456	4517.018	-57
106503		414.02573	540.2					6300			149.7			92200							
106514		386						-186754.83						66620.213							
106525			473.2													80800					
106536		348	512.12487																		
106547			479.2																		
106558			436.7																		
106570								-446000			145.54816										
106581		272.15	404.01889													42126.909					
106638		209.79732	408.29828																		
106650		292	470													61202.349					
106672			449.65														343.18	449.54	20.847905	3053.5663	-122.631
106683			439	627.7			0.00049751244			-338600						44400					
106694		305.95																			
106707		203.57227	423						-540200	-494000						48000	317.7	378	22.920139	4456.4761	-31.421
106718		256.26097																			
106730		217.4	445.20534						-567100	-517000						52000					
106741		225.85947	447.25																		
106796		300.87095														86400					
106887	143.87		336.48579						-168900				324.03								
106898		215.05	389.29265						-149000	-108000							256.7	391.1	22.26206	3782.0144	-38.8
106912			462.2						-455400	-394200						60916.746					
106923			427.10293																		
