CAS	HANSEN_DELTA_D	HANSEN_DELTA_P	HANSEN_DELTA_H
107-07-3	16900.0	8800.0	17200.0
107-10-8	16000.0	4900.0	8600.0
107-11-9	15500.0	5700.0	10600.0
107-12-0	15300.0	14300.0	5500.0
107-13-1	16000.0	12800.0	6800.0
107-14-2	17400.0	13600.0	2000.0
107-15-3	16600.0	8800.0	17000.0
107-18-6	16200.0	10800.0	16800.0
107-19-7	16100.000000000002	8700.0	18800.0
107-20-0	16200.0	14000.0	9000.0
107-21-1	17000.0	11000.0	26000.0
107-22-2	15000.0	17000.0	13300.0
107-25-5	14900.0	5300.0	6300.0
107-29-9	16300.0	4000.0	20200.0
107-31-3	15300.0	8400.0	10200.0
107-46-0	12600.0	2000.0	0.0
107-51-7	12200.0	1800.0	0.0
107-70-0	15300.0	6000.0	5900.0
107-87-9	16000.0	7600.0	4700.0
107-88-0	16500.0	8100.0	20900.0
107-92-6	15700.0	4800.0	12000.0
107-93-7	16800.0	8700.0	12000.0
107-98-2	15600.0	6300.0	11600.0
108-01-0	16100.000000000002	9200.0	14000.0
108-03-2	16600.0	12300.0	5500.0
108-05-4	16000.0	7200.0	5900.0
108-10-1	15300.0	6100.0	4100.0
108-11-2	15400.0	3300.0	12300.0
108-18-9	14800.0	1700.0	3500.0
108-19-0	20000.0	14600.0	18800.0
108-20-3	15100.0	3200.0	3200.0
108-21-4	14900.0	4500.0	8200.0
108-24-7	16000.0	11700.0	10200.0
108-30-5	18600.0	17500.0	16000.0
108-31-6	19500.0	13300.0	11900.0
108-32-7	20000.0	18000.0	4100.0
108-39-4	18500.0	6500.0	13700.0
108-42-9	20200.0	7300.0	9800.0
108-46-3	18600.0	8100.0	20300.0
108-60-1	19000.0	8200.0	5100.0
108-65-6	15600.0	5600.0	9800.0
108-67-8	18000.0	600.0	600.0
108-82-7	14900.0	3100.0	10800.0
108-83-8	16000.0	3700.0	4100.0
108-84-9	15200.0	3100.0	6800.0
108-86-1	19200.0	5500.0	4100.0
108-87-2	16000.0	0.0	1000.0
108-88-3	18000.0	1400.0	2000.0
108-90-7	19000.0	4300.0	2000.0
108-91-8	17200.0	3100.0	6500.0
108-93-0	17400.0	4100.0	13500.0
108-94-1	17800.0	8400.0	5100.0
108-95-2	18500.0	5900.0	14900.0
108-98-5	20000.0	4500.0	10300.0
109-08-0	18300.0	12300.0	10500.0
109-21-7	15600.0	2900.0	5600.0
109-43-3	16700.0	4500.0	4100.0
109-52-4	15000.0	4100.0	10300.0
109-53-5	15100.0	4100.0	5100.0
109-59-1	16000.0	8200.0	13100.0
109-60-4	15300.0	4300.0	7600.0
109-66-0	14500.0	0.0	0.0
109-67-1	13900.0	1400.0	3800.0
109-69-3	16200.0	5500.0	2000.0
109-73-9	16200.0	4500.0	8000.0
109-74-0	15300.0	12400.0	5100.0
109-75-1	16200.0	14300.0	5600.0
109-77-3	17000.0	18400.0	6700.0
109-78-4	17200.0	18800.0	17600.0
109-79-5	16300.0	5300.0	4500.0
109-86-4	16000.0	8200.0	15000.0
109-87-5	15000.0	1800.0	8600.0
109-89-7	14900.0	2300.0	6100.0
109-90-0	15400.0	12000.0	2500.0
109-92-2	14900.0	4900.0	5600.0
109-93-3	14800.0	4200.0	5800.0
109-94-4	15500.0	8400.0	8400.0
109-97-7	19200.0	11000.0	10000.0
109-99-9	16800.0	5700.0	8000.0
110-00-9	17000.0	1800.0	5300.0
110-01-0	18600.0	6700.0	6000.0
110-02-1	18900.0	2400.0	7800.0
110-12-3	16000.0	5700.0	4100.0
110-19-0	15100.0	3700.0	6300.0
110-43-0	16200.0	5700.0	4100.0
110-49-6	15900.0	5500.0	11600.0
110-54-3	14900.0	0.0	0.0
110-56-5	18300.0	7700.0	2800.0
